Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,0.4947403651947148,0.8609656777196044,0.2411522049268494,0.9530254777070064
2,0.3195853045768548,0.9193329455109559,0.1192451096977742,0.9677547770700637
3,0.2994362211278561,0.9252775353887919,0.2547097388227844,0.942078025477707
4,0.31553995783887806,0.9239989334884623,0.17893735513352094,0.9578025477707006
5,0.28568866299767215,0.9279619934070197,0.0988511858309999,0.9753184713375797
6,0.30424609721488494,0.9272469458987783,0.12317764398149575,0.9663614649681529
7,0.27315358437029963,0.9343307640100833,0.15302845057093384,0.9635748407643312
8,0.2787942372694058,0.9311372891215823,0.10251531762196174,0.977109872611465
9,0.2720818430618032,0.9352639616055847,0.10946319188937845,0.9761146496815286
10,0.27972676955286935,0.9361123230560403,0.11090388163630584,0.9743232484076433
